time,telnetToServerPossible
19:52:32,True
19:52:33,True
19:52:33,True
19:52:34,True
19:52:34,True
19:52:35,True
19:52:35,True
19:52:36,True
19:52:36,True
19:52:37,True
19:52:37,True
19:52:38,True
19:52:38,True
19:52:39,True
19:52:39,True
19:52:40,True
19:52:40,True
19:52:41,True
19:52:41,True
19:52:42,True
19:52:43,True
19:52:43,True
19:52:44,True
19:52:44,True
19:52:45,True
19:52:45,True
19:52:46,True
19:52:46,True
19:52:47,True
19:52:47,True
19:52:48,True
19:52:48,True
19:52:49,True
19:52:49,True
19:52:50,True
19:52:50,True
19:52:51,True
19:52:51,True
19:52:52,True
19:52:52,True
19:52:53,True
19:52:53,True
19:52:54,True
19:52:54,True
19:52:55,True
19:52:55,True
19:52:56,True
19:52:56,True
19:52:57,True
19:52:57,True
19:52:58,True
19:52:58,True
19:52:59,True
19:53:00,True
19:53:00,True
19:53:01,True
19:53:01,True
19:53:02,True
19:53:02,True
19:53:03,True
19:53:03,True
19:53:04,True
19:53:04,True
19:53:05,True
19:53:05,True
19:53:06,True
19:53:06,True
19:53:07,True
19:53:07,True
19:53:08,True
19:53:08,True
19:53:09,True
19:53:09,True
19:53:10,True
19:53:10,True
19:53:11,True
19:53:11,True
19:53:12,True
19:53:12,True
19:53:13,True
19:53:13,True
19:53:14,True
19:53:14,True
19:53:15,True
19:53:16,True
19:53:16,True
19:53:17,True
19:53:17,True
19:53:18,True
19:53:18,True
19:53:19,True
19:53:19,True
19:53:20,True
19:53:20,True
19:53:21,True
19:53:21,True
19:53:22,True
19:53:22,True
19:53:23,True
19:53:23,True
19:53:24,True
19:53:24,True
19:53:25,True
19:53:25,True
19:53:26,True
19:53:26,True
19:53:27,True
19:53:27,True
19:53:28,True
19:53:28,True
19:53:29,True
19:53:29,True
19:53:30,True
19:53:30,True
19:53:31,True
19:53:31,True
19:53:32,True
19:53:33,True
19:53:33,True
19:53:34,True
19:53:34,True
19:53:35,True
19:53:35,True
19:53:36,True
19:53:36,True
19:53:37,True
19:53:37,True
19:53:38,True
19:53:38,True
19:53:39,True
19:53:39,True
19:53:40,True
19:53:40,True
19:53:41,True
19:53:41,True
19:53:42,True
19:53:42,True
19:53:43,True
19:53:43,True
19:53:44,True
19:53:44,True
19:53:45,True
19:53:45,True
19:53:46,True
19:53:46,True
19:53:47,True
19:53:47,True
19:53:48,True
19:53:48,True
19:53:49,True
19:53:49,True
19:53:50,True
19:53:50,True
19:53:51,True
19:53:51,True
19:53:52,True
19:53:53,True
19:53:53,True
19:53:54,True
19:53:54,True
19:53:55,True
19:53:55,True
19:53:56,True
19:53:56,True
19:53:57,True
19:53:57,True
19:53:58,True
19:53:58,True
19:53:59,True
19:53:59,True
19:54:00,True
19:54:00,True
19:54:01,True
19:54:01,True
19:54:02,True
19:54:02,True
19:54:03,True
19:54:03,True
19:54:04,True
19:54:04,True
19:54:05,True
19:54:05,True
19:54:06,True
19:54:06,True
19:54:07,True
19:54:07,True
19:54:08,True
19:54:08,True
19:54:09,True
19:54:10,True
19:54:10,True
19:54:11,True
19:54:11,True
19:54:12,True
19:54:12,True
19:54:13,True
19:54:13,True
19:54:14,True
19:54:14,True
19:54:15,True
19:54:15,True
19:54:16,True
19:54:16,True
19:54:17,True
19:54:17,True
19:54:18,True
19:54:18,True
19:54:19,True
19:54:19,True
19:54:20,True
19:54:20,True
19:54:21,True
19:54:21,True
19:54:22,True
19:54:22,True
19:54:23,True
19:54:23,True
19:54:24,True
19:54:24,True
19:54:25,True
19:54:25,True
19:54:26,True
19:54:27,True
19:54:27,True
19:54:28,True
19:54:28,True
19:54:29,True
19:54:29,True
19:54:30,True
19:54:30,True
19:54:31,True
19:54:31,True
19:54:32,True
19:54:32,True
19:54:33,True
19:54:33,True
19:54:34,True
19:54:34,True
19:54:35,True
19:54:35,True
19:54:36,True
19:54:36,True
19:54:37,True
19:54:37,True
19:54:38,True
19:54:38,True
19:54:39,True
19:54:39,True
19:54:40,True
19:54:40,True
19:54:41,True
19:54:41,True
19:54:42,True
19:54:42,True
19:54:43,True
19:54:44,True
19:54:44,True
19:54:45,True
19:54:45,True
19:54:46,True
19:54:46,True
19:54:47,True
19:54:47,True
19:54:48,True
19:54:48,True
19:54:49,True
19:54:49,True
19:54:50,True
19:54:50,True
19:54:51,True
19:54:51,True
19:54:52,True
19:54:52,True
19:54:53,True
19:54:53,True
19:54:54,True
19:54:54,True
19:54:55,True
19:54:55,True
19:54:56,True
19:54:56,True
19:54:57,True
19:54:57,True
19:54:58,True
19:54:58,True
19:54:59,True
19:54:59,True
19:55:00,True
19:55:01,True
19:55:01,True
19:55:02,True
19:55:02,True
19:55:03,True
19:55:03,True
19:55:04,True
19:55:04,True
19:55:05,True
19:55:05,True
19:55:06,True
19:55:06,True
19:55:07,True
19:55:07,True
19:55:08,True
19:55:08,True
19:55:09,True
19:55:09,True
19:55:10,True
19:55:10,True
19:55:11,True
19:55:11,True
19:55:12,True
19:55:12,True
19:55:13,True
19:55:13,True
19:55:14,True
19:55:14,True
19:55:15,True
19:55:15,True
19:55:16,True
19:55:16,True
19:55:17,True
19:55:17,True
19:55:18,True
19:55:18,True
19:55:19,True
19:55:19,True
19:55:20,True
19:55:20,True
19:55:21,True
19:55:21,True
19:55:22,True
19:55:22,True
19:55:23,True
19:55:24,True
19:55:24,True
19:55:25,True
19:55:25,True
19:55:26,True
19:55:26,True
19:55:27,True
19:55:27,True
19:55:28,True
19:55:28,True
19:55:29,True
19:55:29,True
19:55:30,True
19:55:30,True
19:55:31,True
19:55:31,True
19:55:32,True
19:55:32,True
19:55:33,True
19:55:33,True
19:55:34,True
19:55:34,True
19:55:35,True
19:55:35,True
19:55:36,True
19:55:36,True
19:55:37,True
19:55:37,True
19:55:38,True
19:55:38,True
19:55:39,True
19:55:39,True
19:55:40,True
19:55:40,True
19:55:41,True
19:55:42,True
19:55:42,True
19:55:43,True
19:55:43,True
19:55:44,True
19:55:44,True
19:55:45,True
19:55:45,True
19:55:46,True
19:55:46,True
19:55:47,True
19:55:47,True
19:55:48,True
19:55:48,True
19:55:49,True
19:55:49,True
19:55:50,True
19:55:50,True
19:55:51,True
19:55:51,True
19:55:52,True
19:55:52,True
19:55:53,True
19:55:53,True
19:55:54,True
19:55:55,True
19:55:55,True
19:55:56,True
19:55:56,True
19:55:57,True
19:55:57,True
19:55:58,True
19:55:58,True
19:55:59,True
19:55:59,True
19:56:00,True
19:56:00,True
19:56:01,True
19:56:01,True
19:56:02,True
19:56:02,True
19:56:03,True
19:56:03,True
19:56:04,True
19:56:04,True
19:56:05,True
19:56:05,True
19:56:06,True
19:56:06,True
19:56:07,True
19:56:07,True
19:56:08,True
19:56:08,True
19:56:09,True
19:56:09,True
19:56:10,True
19:56:11,True
19:56:11,True
19:56:12,True
19:56:12,True
19:56:13,True
