time,telnetToLocalPossible
01:22:34,True
01:22:34,True
01:22:35,True
01:22:35,True
01:22:36,True
01:22:37,True
01:22:37,True
01:22:38,True
01:22:38,True
01:22:39,True
01:22:39,True
01:22:40,True
01:22:40,True
01:22:41,True
01:22:41,True
01:22:42,True
01:22:42,True
01:22:43,True
01:22:43,True
01:22:44,True
01:22:45,True
01:22:45,True
01:22:46,True
01:22:46,True
01:22:47,True
01:22:47,True
01:22:48,True
01:22:48,True
01:22:49,True
01:22:49,True
01:22:50,True
01:22:50,True
01:22:51,True
01:22:51,True
01:22:52,True
01:22:52,True
01:22:53,True
01:22:53,True
01:22:54,True
01:22:54,True
01:22:55,True
01:22:55,True
01:22:56,True
01:22:57,True
01:22:57,True
01:22:58,True
01:22:58,True
01:22:59,True
01:22:59,True
01:23:00,True
01:23:00,True
01:23:01,True
01:23:01,True
01:23:02,True
01:23:02,True
01:23:03,True
01:23:03,True
01:23:04,True
01:23:04,True
01:23:05,True
01:23:05,True
01:23:06,True
01:23:06,True
01:23:07,True
01:23:07,True
01:23:08,True
01:23:08,True
01:23:09,True
01:23:09,True
01:23:10,True
01:23:11,True
01:23:11,True
01:23:12,True
01:23:12,True
01:23:13,True
01:23:13,True
01:23:14,True
01:23:14,True
01:23:15,True
01:23:15,True
01:23:16,True
01:23:16,True
01:23:17,True
01:23:17,True
01:23:18,True
01:23:19,True
01:23:19,True
01:23:20,True
01:23:20,True
01:23:21,True
01:23:21,True
01:23:22,True
01:23:22,True
01:23:23,True
01:23:23,True
01:23:24,True
01:23:24,True
01:23:25,True
01:23:25,True
01:23:26,True
01:23:26,True
01:23:27,True
01:23:28,True
01:23:28,True
01:23:29,True
01:23:29,True
01:23:30,True
01:23:30,True
01:23:31,True
01:23:31,True
01:23:32,True
01:23:32,True
01:23:33,True
01:23:33,True
01:23:34,True
01:23:35,True
01:23:35,True
01:23:36,True
01:23:36,True
01:23:37,True
01:23:37,True
01:23:38,True
01:23:38,True
01:23:39,True
01:23:40,True
01:23:40,True
01:23:41,True
01:23:41,True
01:23:42,True
01:23:42,True
01:23:43,True
01:23:44,True
01:23:44,True
01:23:45,True
01:23:45,True
01:23:46,True
01:23:46,True
01:23:47,True
01:23:48,True
01:23:48,True
01:23:49,True
01:23:49,True
01:23:50,True
01:23:50,True
01:23:51,True
01:23:51,True
01:23:52,True
01:23:52,True
01:23:53,True
01:23:54,True
01:23:54,True
01:23:55,True
01:23:55,True
01:23:56,True
01:23:56,True
01:23:57,True
01:23:57,True
01:23:58,True
01:23:59,True
01:23:59,True
01:24:00,True
01:24:00,True
01:24:01,True
01:24:01,True
01:24:02,True
01:24:02,True
01:24:03,True
01:24:03,True
01:24:04,True
01:24:05,True
01:24:05,True
01:24:06,True
01:24:06,True
01:24:07,True
01:24:07,True
01:24:08,True
01:24:08,True
01:24:09,True
01:24:09,True
01:24:10,True
01:24:10,True
01:24:11,True
01:24:12,True
01:24:12,True
01:24:13,True
01:24:13,True
01:24:14,True
01:24:14,True
01:24:15,True
01:24:15,True
01:24:16,True
01:24:16,True
01:24:17,True
01:24:17,True
01:24:18,True
01:24:19,True
01:24:19,True
01:24:20,True
01:24:20,True
01:24:21,True
01:24:21,True
01:24:22,True
01:24:22,True
01:24:23,True
01:24:23,True
01:24:24,True
01:24:24,True
01:24:25,True
01:24:26,True
01:24:26,True
01:24:27,True
01:24:27,True
01:24:28,True
01:24:28,True
01:24:29,True
01:24:29,True
01:24:30,True
01:24:30,True
01:24:31,True
01:24:32,True
01:24:32,True
01:24:33,True
01:24:33,True
01:24:34,True
01:24:34,True
01:24:35,True
01:24:35,True
01:24:36,True
01:24:37,True
01:24:37,True
01:24:38,True
01:24:38,True
01:24:39,True
01:24:39,True
01:24:40,True
01:24:41,True
01:24:41,True
01:24:42,True
01:24:42,True
01:24:43,True
01:24:43,True
01:24:44,True
01:24:45,True
01:24:45,True
01:24:46,True
01:24:46,True
01:24:47,True
01:24:47,True
01:24:48,True
01:24:48,True
01:24:49,True
01:24:50,True
01:24:50,True
01:24:51,True
01:24:51,True
01:24:52,True
01:24:52,True
01:24:53,True
01:24:53,True
01:24:54,True
01:24:54,True
01:24:55,True
01:24:56,True
01:24:56,True
01:24:57,True
01:24:57,True
01:24:58,True
01:24:58,True
01:24:59,True
01:24:59,True
01:25:00,True
01:25:00,True
01:25:01,True
01:25:02,True
01:25:02,True
01:25:03,True
01:25:03,True
01:25:04,True
01:25:04,True
01:25:05,True
01:25:05,True
01:25:06,True
01:25:06,True
01:25:07,True
01:25:07,True
01:25:08,True
01:25:09,True
01:25:09,True
01:25:10,True
01:25:10,True
01:25:11,True
01:25:11,True
01:25:12,True
01:25:12,True
01:25:13,True
01:25:13,True
01:25:14,True
01:25:15,True
01:25:15,True
01:25:16,True
01:25:16,True
01:25:17,True
01:25:17,True
01:25:18,True
01:25:18,True
01:25:19,True
01:25:19,True
01:25:20,True
01:25:21,True
01:25:21,True
01:25:22,True
01:25:22,True
01:25:23,True
01:25:23,True
01:25:24,True
01:25:24,True
01:25:25,True
01:25:25,True
01:25:26,True
01:25:26,True
01:25:27,True
01:25:28,True
01:25:28,True
01:25:29,True
01:25:29,True
01:25:30,True
01:25:30,True
01:25:31,True
01:25:31,True
01:25:32,True
01:25:32,True
01:25:33,True
01:25:33,True
01:25:34,True
01:25:34,True
01:25:35,True
01:25:36,True
01:25:36,True
01:25:37,True
01:25:37,True
01:25:38,True
01:25:38,True
01:25:39,True
01:25:39,True
01:25:40,True
01:25:41,True
01:25:41,True
01:25:42,True
01:25:42,True
01:25:43,True
01:25:43,True
01:25:44,True
01:25:44,True
01:25:45,True
01:25:45,True
01:25:46,True
01:25:47,True
01:25:47,True
01:25:48,True
01:25:48,True
01:25:49,True
01:25:50,True
01:25:50,True
01:25:51,True
01:25:51,True
01:25:52,True
01:25:52,True
01:25:53,True
01:25:53,True
01:25:54,True
01:25:54,True
01:25:55,True
01:25:55,True
01:25:56,True
01:25:56,True
01:25:57,True
01:25:58,True
01:25:58,True
01:25:59,True
01:25:59,True
01:26:00,True
01:26:00,True
01:26:01,True
01:26:01,True
01:26:02,True
01:26:02,True
01:26:03,True
01:26:03,True
01:26:04,True
01:26:04,True
01:26:05,True
01:26:05,True
01:26:06,True
01:26:07,True
01:26:07,True
01:26:08,True
01:26:08,True
01:26:09,True
01:26:09,True
01:26:10,True
01:26:10,True
01:26:11,True
01:26:11,True
01:26:12,True
01:26:12,True
01:26:13,True
01:26:14,True
01:26:14,True
01:26:15,True
01:26:15,True
01:26:16,True
01:26:16,True
01:26:17,True
01:26:17,True
01:26:18,True
01:26:18,True
01:26:19,True
01:26:20,True
01:26:20,True
